,Range,SNR,Number Of People
0,4.592640667283477,21.479652404785156,1
1,4.592640667283477,28.918607711791992,1
2,4.592640488185762,31.600189208984375,1
3,4.739214029706105,17.161577224731445,1
4,5.032361009726077,34.64423370361328,1
5,4.739213854570898,27.17425537109375,1
6,4.592640372622813,63.32754898071289,1
7,4.592640372622813,77.69086456298828,1
8,4.6903560100637245,25.253637313842773,1
9,4.592640354379254,86.96011352539062,1
10,4.739213917778585,57.97470474243164,1
11,4.788071554720717,38.41313934326172,1
12,4.7392140721817135,37.50312042236328,1
13,4.5926405275131925,21.207977294921875,1
14,4.7392140721817135,32.74808883666992,1
15,4.5926406479293345,29.61362648010254,1
16,4.5926406479293345,27.46636199951172,1
17,4.5926406479293345,16.866619110107422,1
18,4.6414981300740665,27.74467658996582,1
19,4.98350344094675,24.668842315673828,1
20,4.690356478315133,18.839275360107422,1
21,4.592640261547544,22.913631439208984,1
22,4.788071476095108,44.27062225341797,1
23,4.788071476095108,116.0082778930664,1
24,4.641497860553023,21.267648696899414,1
25,4.788071554720717,47.59431457519531,1
26,4.788071554720717,25.269262313842773,1
27,4.788071554720717,27.315988540649414,1
28,4.641498138248305,34.39560317993164,1
29,4.641498138248305,48.00685501098633,1
30,4.788071397651805,50.664306640625,1
31,4.641498007386413,29.301305770874023,1
32,4.739213917778585,41.703025817871094,1
33,4.739213917778585,141.68946838378906,1
34,4.739213917778585,34.818748474121094,1
35,4.6903560100637245,45.26107406616211,1
36,4.641498007386413,44.26653289794922,1
37,4.641497942569912,59.62926483154297,1
38,4.592640354379254,123.7488784790039,1
39,4.6903560100637245,40.34157180786133,1
40,4.641497942569912,54.98581314086914,1
41,4.543782286885442,66.1209945678711,1
42,4.543782286885442,156.10858154296875,1
43,4.494924408403603,129.18460083007812,1
44,4.446066890674728,61.42021942138672,1
45,4.494924408403603,45.98091506958008,1
46,4.446066977519052,51.35389709472656,1
47,4.446066890674728,119.20034790039062,1
48,4.397208430649592,84.4457015991211,1
49,4.348350822582831,76.89928436279297,1
50,4.250635128235936,78.23863983154297,1
51,4.201777281062488,70.53822326660156,1
52,4.250635128235936,79.3289566040039,1
53,4.15291943388904,208.96063232421875,1
54,4.104061586715592,173.73133850097656,1
