Range DKF,Range RKF,Absolute Value Error,Comments,RMSE Error,0.493572075
4.782605454,4.761659622,0.020945831,,,
4.760732965,4.740321159,0.020411806,,,
4.766377329,4.746578217,0.019799113,,,
4.737937995,4.718813419,0.019124575,,,
4.689379923,4.67061758,0.018762342,,,
4.699888062,4.681529522,0.01835854,,,
4.716608927,4.699162483,0.017446444,,,
4.619874376,4.602762699,0.017111677,,,
4.553784223,4.536207199,0.017577024,,,
4.532893397,4.51497364,0.017919756,,,
4.528704005,4.511011124,0.017692882,,,
4.523191649,4.505986214,0.017205435,,,
4.466722213,4.449691772,0.01703044,,,
4.456863844,4.439949036,0.016914808,,,
4.411519856,4.394632816,0.016887039,,,
4.43727229,4.420701504,0.016570786,,,
4.410639043,4.39455986,0.016079183,,,
4.369371837,4.353541374,0.015830463,,,
4.316044228,4.300144196,0.015900033,,,
4.322206334,4.306400776,0.015805558,,,
4.316130393,4.300657749,0.015472644,,,
4.304724882,4.28968668,0.015038202,,,
4.308452303,4.262869835,0.045582468,,,
4.18543709,4.163166523,0.022270567,,,
4.130866034,4.11162138,0.019244655,,,
4.09868251,4.080747604,0.017934905,,,
4.114595805,4.097617149,0.016978655,,,
4.08127574,4.065101147,0.016174593,,,
4.055140696,4.039507866,0.01563283,,,
4.040257466,4.025137901,0.015119564,,,
4.035178416,4.020541191,0.014637225,,,
3.987335358,3.972989321,0.014346037,,,
3.976359894,3.96219039,0.014169504,,,
3.958311958,3.944411278,0.01390068,,,
3.966826,3.953408241,0.013417759,,,
3.941845391,3.928903341,0.01294205,,,
3.880326052,3.867447615,0.012878437,,,
3.819406582,3.806214333,0.01319225,,,
3.794721984,3.781183958,0.013538026,,,
3.711203368,3.697090149,0.014113219,,,
3.670080686,3.655186653,0.014894033,,,
3.631630559,3.616074085,0.015556473,,,
3.589549371,3.573569059,0.015980312,,,
3.58824923,3.572210312,0.016038918,,,
3.56320966,3.547211885,0.015997775,,,
3.548362416,3.532515049,0.015847367,,,
3.463540526,3.447488308,0.016052218,,,
3.491370111,3.475256205,0.016113907,,,
3.452454311,3.436643839,0.015810472,,,
3.42266281,3.407015324,0.015647486,,,
3.38859492,3.373011351,0.015583569,,,
3.338139307,3.322557926,0.015581381,,,
3.290909828,3.275227785,0.015682043,,,
3.236810881,3.220882893,0.015927988,,,
3.261787237,3.24584651,0.015940727,,,
