Index,maxDistance,minClusterSize,Misclassifications,Accuracy %,Max Frames,1024
156,0.5,6,332,67.578125,,
157,0.5,7,347,66.11328125,,
158,0.5,8,376,63.28125,,
159,0.5,9,397,61.23046875,,
160,0.5,10,425,58.49609375,,
161,0.5,11,446,56.4453125,,
162,0.5,12,477,53.41796875,,
163,0.5,13,501,51.07421875,,
164,0.5,14,526,48.6328125,,
165,0.5,15,549,46.38671875,,
166,0.5,16,576,43.75,,
167,0.5,17,600,41.40625,,
168,0.5,18,105,89.74609375,,
169,0.5,19,109,89.35546875,,
170,0.5,20,113,88.96484375,,
171,0.55,2,128,87.5,,
172,0.55,3,142,86.1328125,,
173,0.55,4,154,84.9609375,,
174,0.55,5,174,83.0078125,,
175,0.55,6,188,81.640625,,
176,0.55,7,201,80.37109375,,
177,0.55,8,211,79.39453125,,
178,0.55,9,228,77.734375,,
179,0.55,10,239,76.66015625,,
180,0.55,11,251,75.48828125,,
181,0.55,12,272,73.4375,,
182,0.55,13,285,72.16796875,,
183,0.55,14,307,70.01953125,,
184,0.55,15,331,67.67578125,,
185,0.55,16,343,66.50390625,,
186,0.55,17,370,63.8671875,,
187,0.55,18,390,61.9140625,,
188,0.55,19,417,59.27734375,,
189,0.55,20,436,57.421875,,
190,0.6,2,461,54.98046875,,
191,0.6,3,487,52.44140625,,
192,0.6,4,513,49.90234375,,
193,0.6,5,536,47.65625,,
194,0.6,6,559,45.41015625,,
195,0.6,7,582,43.1640625,,
196,0.6,8,96,90.625,,
197,0.6,9,104,89.84375,,
198,0.6,10,110,89.2578125,,
199,0.6,11,125,87.79296875,,
200,0.6,12,141,86.23046875,,
201,0.6,13,153,85.05859375,,
202,0.6,14,173,83.10546875,,
203,0.6,15,187,81.73828125,,
204,0.6,16,202,80.2734375,,
205,0.6,17,209,79.58984375,,
206,0.6,18,226,77.9296875,,
207,0.6,19,238,76.7578125,,
208,0.6,20,250,75.5859375,,
209,0.65,2,269,73.73046875,,
210,0.65,3,284,72.265625,,
211,0.65,4,303,70.41015625,,
212,0.65,5,329,67.87109375,,
213,0.65,6,341,66.69921875,,
214,0.65,7,368,64.0625,,
215,0.65,8,387,62.20703125,,
216,0.65,9,414,59.5703125,,
217,0.65,10,431,57.91015625,,
218,0.65,11,460,55.078125,,
219,0.65,12,482,52.9296875,,
220,0.65,13,507,50.48828125,,
221,0.65,14,528,48.4375,,
222,0.65,15,549,46.38671875,,
223,0.65,16,570,44.3359375,,
224,0.65,17,88,91.40625,,
225,0.65,18,96,90.625,,
226,0.65,19,106,89.6484375,,
227,0.65,20,121,88.18359375,,
228,0.7,2,139,86.42578125,,
229,0.7,3,152,85.15625,,
230,0.7,4,173,83.10546875,,
231,0.7,5,187,81.73828125,,
232,0.7,6,202,80.2734375,,
233,0.7,7,209,79.58984375,,
234,0.7,8,226,77.9296875,,
235,0.7,9,237,76.85546875,,
236,0.7,10,248,75.78125,,
237,0.7,11,268,73.828125,,
238,0.7,12,284,72.265625,,
239,0.7,13,301,70.60546875,,
240,0.7,14,329,67.87109375,,
241,0.7,15,340,66.796875,,
242,0.7,16,366,64.2578125,,
243,0.7,17,386,62.3046875,,
244,0.7,18,412,59.765625,,
245,0.7,19,428,58.203125,,
246,0.7,20,458,55.2734375,,
247,0.75,2,482,52.9296875,,
248,0.75,3,506,50.5859375,,
249,0.75,4,527,48.53515625,,
250,0.75,5,548,46.484375,,
251,0.75,6,565,44.82421875,,
252,0.75,7,81,92.08984375,,
253,0.75,8,93,90.91796875,,
254,0.75,9,104,89.84375,,
255,0.75,10,119,88.37890625,,
256,0.75,11,138,86.5234375,,
257,0.75,12,151,85.25390625,,
258,0.75,13,172,83.203125,,
259,0.75,14,186,81.8359375,,
260,0.75,15,202,80.2734375,,
261,0.75,16,209,79.58984375,,
262,0.75,17,226,77.9296875,,
263,0.75,18,237,76.85546875,,
264,0.75,19,248,75.78125,,
265,0.75,20,268,73.828125,,
266,0.8,2,284,72.265625,,
267,0.8,3,301,70.60546875,,
268,0.8,4,329,67.87109375,,
269,0.8,5,340,66.796875,,
270,0.8,6,364,64.453125,,
271,0.8,7,385,62.40234375,,
272,0.8,8,411,59.86328125,,
273,0.8,9,425,58.49609375,,
274,0.8,10,457,55.37109375,,
275,0.8,11,480,53.125,,
276,0.8,12,505,50.68359375,,
277,0.8,13,527,48.53515625,,
278,0.8,14,546,46.6796875,,
279,0.8,15,564,44.921875,,
280,0.8,16,78,92.3828125,,
281,0.8,17,91,91.11328125,,
282,0.8,18,102,90.0390625,,
283,0.8,19,118,88.4765625,,
284,0.8,20,137,86.62109375,,
285,0.85,2,149,85.44921875,,
286,0.85,3,170,83.3984375,,
287,0.85,4,184,82.03125,,
288,0.85,5,201,80.37109375,,
289,0.85,6,209,79.58984375,,
290,0.85,7,226,77.9296875,,
291,0.85,8,237,76.85546875,,
292,0.85,9,248,75.78125,,
293,0.85,10,268,73.828125,,
294,0.85,11,284,72.265625,,
295,0.85,12,301,70.60546875,,
296,0.85,13,329,67.87109375,,
297,0.85,14,340,66.796875,,
298,0.85,15,364,64.453125,,
299,0.85,16,385,62.40234375,,
300,0.85,17,411,59.86328125,,
301,0.85,18,424,58.59375,,
302,0.85,19,455,55.56640625,,
303,0.85,20,480,53.125,,
304,0.9,2,504,50.78125,,
305,0.9,3,527,48.53515625,,
306,0.9,4,546,46.6796875,,
307,0.9,5,562,45.1171875,,
308,0.9,6,74,92.7734375,,
309,0.9,7,89,91.30859375,,
310,0.9,8,101,90.13671875,,
311,0.9,9,118,88.4765625,,
312,0.9,10,137,86.62109375,,
313,0.9,11,149,85.44921875,,
314,0.9,12,169,83.49609375,,
315,0.9,13,183,82.12890625,,
316,0.9,14,200,80.46875,,
317,0.9,15,209,79.58984375,,
318,0.9,16,225,78.02734375,,
319,0.9,17,236,76.953125,,
320,0.9,18,247,75.87890625,,
321,0.9,19,268,73.828125,,
322,0.9,20,284,72.265625,,
323,0.95,2,301,70.60546875,,
324,0.95,3,329,67.87109375,,
325,0.95,4,340,66.796875,,
