FrameNumber,X,Y
0,1.970533,2.103917
FrameNumber,X,Y
1,1.970533,2.103917
FrameNumber,X,Y
2,2.0383162,2.0383162
2,1.970533,2.103917
FrameNumber,X,Y
3,2.0383162,2.0383162
3,1.970533,2.103917
FrameNumber,X,Y
4,2.0383162,2.0383162
4,1.970533,2.103917
FrameNumber,X,Y
5,2.0383162,2.0383162
5,1.970533,2.103917
5,1.9006399,2.1672645
FrameNumber,X,Y
6,2.0383162,2.0383162
6,1.970533,2.103917
FrameNumber,X,Y
7,2.0383162,2.0383162
7,1.970533,2.103917
FrameNumber,X,Y
8,2.0383162,2.0383162
8,1.970533,2.103917
FrameNumber,X,Y
9,1.970533,2.103917
FrameNumber,X,Y
10,2.0383162,2.0383162
10,1.970533,2.103917
10,1.9006399,2.1672645
FrameNumber,X,Y
11,2.0383162,2.0383162
11,1.970533,2.103917
FrameNumber,X,Y
12,1.970533,2.103917
FrameNumber,X,Y
13,2.0383162,2.0383162
13,1.970533,2.103917
FrameNumber,X,Y
14,2.0383162,2.0383162
14,1.970533,2.103917
14,1.9006399,2.1672645
FrameNumber,X,Y
15,1.970533,2.103917
FrameNumber,X,Y
16,1.970533,2.103917
FrameNumber,X,Y
17,1.970533,2.103917
FrameNumber,X,Y
18,2.0383162,2.0383162
18,1.970533,2.103917
FrameNumber,X,Y
19,1.970533,2.103917
FrameNumber,X,Y
20,1.970533,2.103917
FrameNumber,X,Y
21,1.9258013,4.6492953
21,1.7554393,4.66409
21,1.7726494,4.7098165
21,1.6018945,4.7190294
FrameNumber,X,Y
22,1.9071043,4.6041565
22,1.9258013,4.6492953
22,1.7554393,4.66409
22,1.7726494,4.7098165
22,1.8070698,4.8012695
22,1.6490091,4.8578243
FrameNumber,X,Y
23,1.9071043,4.6041565
23,1.7554393,4.66409
23,1.7726494,4.7098165
FrameNumber,X,Y
24,1.970533,2.103917
24,1.9258013,4.6492953
24,1.7726494,4.7098165
FrameNumber,X,Y
25,1.970533,2.103917
25,1.9258013,4.6492953
25,1.7726494,4.7098165
FrameNumber,X,Y
26,2.056727,4.539293
26,1.9071043,4.6041565
26,1.7554393,4.66409
26,1.7726494,4.7098165
26,1.7898597,4.755543
26,1.6175994,4.765294
26,1.6333042,4.8115597
FrameNumber,X,Y
27,1.9071043,4.6041565
27,1.7554393,4.66409
27,1.7898597,4.755543
27,1.6333042,4.8115597
FrameNumber,X,Y
28,1.9071043,4.6041565
28,1.7554393,4.66409
28,1.7898597,4.755543
28,1.6018945,4.7190294
28,1.6333042,4.8115597
FrameNumber,X,Y
29,2.0383162,2.0383162
29,1.970533,2.103917
29,1.9444985,4.694434
29,1.7898597,4.755543
29,1.6333042,4.8115597
FrameNumber,X,Y
30,2.0383162,2.0383162
30,1.970533,2.103917
30,1.9071043,4.6041565
30,1.7382289,4.618364
30,1.7554393,4.66409
30,1.6018945,4.7190294
30,1.4466345,4.7689157
FrameNumber,X,Y
31,2.0365627,4.4947896
31,2.056727,4.539293
31,1.8884071,4.5590177
31,1.9071043,4.6041565
31,1.9258013,4.6492953
31,1.9444985,4.694434
31,1.7382289,4.618364
31,1.7554393,4.66409
31,1.7726494,4.7098165
31,1.7898597,4.755543
31,1.6175994,4.765294
31,1.6333042,4.8115597
FrameNumber,X,Y
32,2.0383162,2.0383162
32,1.970533,2.103917
32,1.9258013,4.6492953
32,1.9444985,4.694434
32,1.7554393,4.66409
32,1.7726494,4.7098165
32,1.7898597,4.755543
32,1.6018945,4.7190294
32,1.6175994,4.765294
FrameNumber,X,Y
33,1.9258013,4.6492953
33,2.0192869,4.874989
33,1.7726494,4.7098165
FrameNumber,X,Y
34,1.970533,2.103917
34,1.9258013,4.6492953
34,1.9444985,4.694434
34,2.0005898,4.8298507
34,2.0192869,4.874989
34,1.7726494,4.7098165
34,1.8414901,4.892722
34,1.6175994,4.765294
34,1.4608172,4.8156695
FrameNumber,X,Y
35,2.0383162,2.0383162
35,1.9371341,2.0682573
35,1.970533,2.103917
35,1.9006399,2.1672645
35,2.0005898,4.8298507
35,2.0192869,4.874989
35,1.7726494,4.7098165
35,1.7898597,4.755543
35,1.8414901,4.892722
35,1.8587003,4.9384484
35,1.6175994,4.765294
35,1.4608172,4.8156695
FrameNumber,X,Y
36,2.0383162,2.0383162
36,1.970533,2.103917
36,2.2473657,4.557207
