,Eps,MinSamples,Misclassifications
0,0.1,2.0,462.0
1,0.1,3.0,457.0
2,0.1,4.0,444.0
3,0.1,5.0,441.0
4,0.1,6.0,506.0
5,0.1,7.0,507.0
6,0.1,8.0,508.0
7,0.1,9.0,507.0
8,0.1,10.0,509.0
9,0.1,11.0,504.0
10,0.1,12.0,510.0
11,0.1,13.0,510.0
12,0.1,14.0,510.0
13,0.1,15.0,510.0
14,0.1,16.0,510.0
15,0.1,17.0,510.0
16,0.1,18.0,510.0
17,0.1,19.0,510.0
18,0.1,20.0,510.0
19,0.1,21.0,510.0
20,0.1,22.0,510.0
21,0.1,23.0,510.0
22,0.1,24.0,510.0
23,0.1,25.0,510.0
24,0.1,26.0,510.0
25,0.1,27.0,510.0
26,0.1,28.0,510.0
27,0.1,29.0,510.0
28,0.15000000000000002,2.0,402.0
29,0.15000000000000002,3.0,392.0
30,0.15000000000000002,4.0,372.0
31,0.15000000000000002,5.0,370.0
32,0.15000000000000002,6.0,394.0
33,0.15000000000000002,7.0,411.0
34,0.15000000000000002,8.0,431.0
35,0.15000000000000002,9.0,435.0
36,0.15000000000000002,10.0,452.0
37,0.15000000000000002,11.0,460.0
38,0.15000000000000002,12.0,463.0
39,0.15000000000000002,13.0,473.0
40,0.15000000000000002,14.0,490.0
41,0.15000000000000002,15.0,500.0
42,0.15000000000000002,16.0,506.0
43,0.15000000000000002,17.0,507.0
44,0.15000000000000002,18.0,510.0
45,0.15000000000000002,19.0,510.0
46,0.15000000000000002,20.0,510.0
47,0.15000000000000002,21.0,510.0
48,0.15000000000000002,22.0,510.0
49,0.15000000000000002,23.0,510.0
50,0.15000000000000002,24.0,510.0
51,0.15000000000000002,25.0,510.0
52,0.15000000000000002,26.0,510.0
53,0.15000000000000002,27.0,510.0
54,0.15000000000000002,28.0,510.0
55,0.15000000000000002,29.0,510.0
56,0.20000000000000004,2.0,287.0
57,0.20000000000000004,3.0,302.0
58,0.20000000000000004,4.0,302.0
59,0.20000000000000004,5.0,312.0
60,0.20000000000000004,6.0,331.0
61,0.20000000000000004,7.0,341.0
62,0.20000000000000004,8.0,356.0
63,0.20000000000000004,9.0,369.0
64,0.20000000000000004,10.0,380.0
65,0.20000000000000004,11.0,395.0
66,0.20000000000000004,12.0,406.0
67,0.20000000000000004,13.0,420.0
68,0.20000000000000004,14.0,434.0
69,0.20000000000000004,15.0,451.0
70,0.20000000000000004,16.0,464.0
71,0.20000000000000004,17.0,470.0
72,0.20000000000000004,18.0,481.0
73,0.20000000000000004,19.0,486.0
74,0.20000000000000004,20.0,495.0
75,0.20000000000000004,21.0,497.0
76,0.20000000000000004,22.0,500.0
77,0.20000000000000004,23.0,505.0
78,0.20000000000000004,24.0,510.0
79,0.20000000000000004,25.0,510.0
80,0.20000000000000004,26.0,510.0
81,0.20000000000000004,27.0,510.0
82,0.20000000000000004,28.0,510.0
83,0.20000000000000004,29.0,510.0
84,0.25000000000000006,2.0,273.0
85,0.25000000000000006,3.0,291.0
86,0.25000000000000006,4.0,290.0
87,0.25000000000000006,5.0,308.0
88,0.25000000000000006,6.0,323.0
89,0.25000000000000006,7.0,337.0
90,0.25000000000000006,8.0,347.0
91,0.25000000000000006,9.0,360.0
92,0.25000000000000006,10.0,369.0
93,0.25000000000000006,11.0,387.0
94,0.25000000000000006,12.0,393.0
95,0.25000000000000006,13.0,401.0
96,0.25000000000000006,14.0,412.0
97,0.25000000000000006,15.0,420.0
98,0.25000000000000006,16.0,438.0
99,0.25000000000000006,17.0,452.0
100,0.25000000000000006,18.0,456.0
101,0.25000000000000006,19.0,462.0
102,0.25000000000000006,20.0,474.0
103,0.25000000000000006,21.0,478.0
104,0.25000000000000006,22.0,484.0
105,0.25000000000000006,23.0,491.0
106,0.25000000000000006,24.0,494.0
107,0.25000000000000006,25.0,499.0
108,0.25000000000000006,26.0,500.0
109,0.25000000000000006,27.0,502.0
110,0.25000000000000006,28.0,504.0
111,0.25000000000000006,29.0,504.0
112,0.30000000000000004,2.0,261.0
113,0.30000000000000004,3.0,283.0
114,0.30000000000000004,4.0,288.0
115,0.30000000000000004,5.0,304.0
116,0.30000000000000004,6.0,320.0
117,0.30000000000000004,7.0,337.0
118,0.30000000000000004,8.0,345.0
119,0.30000000000000004,9.0,359.0
120,0.30000000000000004,10.0,367.0
121,0.30000000000000004,11.0,383.0
122,0.30000000000000004,12.0,390.0
123,0.30000000000000004,13.0,399.0
124,0.30000000000000004,14.0,408.0
125,0.30000000000000004,15.0,418.0
126,0.30000000000000004,16.0,430.0
127,0.30000000000000004,17.0,440.0
128,0.30000000000000004,18.0,445.0
129,0.30000000000000004,19.0,450.0
130,0.30000000000000004,20.0,464.0
131,0.30000000000000004,21.0,468.0
132,0.30000000000000004,22.0,472.0
133,0.30000000000000004,23.0,479.0
134,0.30000000000000004,24.0,483.0
135,0.30000000000000004,25.0,491.0
136,0.30000000000000004,26.0,494.0
137,0.30000000000000004,27.0,496.0
138,0.30000000000000004,28.0,497.0
139,0.30000000000000004,29.0,500.0
140,0.3500000000000001,2.0,251.0
141,0.3500000000000001,3.0,275.0
142,0.3500000000000001,4.0,282.0
143,0.3500000000000001,5.0,299.0
144,0.3500000000000001,6.0,316.0
145,0.3500000000000001,7.0,333.0
146,0.3500000000000001,8.0,342.0
147,0.3500000000000001,9.0,356.0
148,0.3500000000000001,10.0,365.0
149,0.3500000000000001,11.0,382.0
150,0.3500000000000001,12.0,389.0
151,0.3500000000000001,13.0,396.0
152,0.3500000000000001,14.0,401.0
153,0.3500000000000001,15.0,414.0
154,0.3500000000000001,16.0,423.0
155,0.3500000000000001,17.0,433.0
156,0.3500000000000001,18.0,442.0
157,0.3500000000000001,19.0,447.0
158,0.3500000000000001,20.0,454.0
159,0.3500000000000001,21.0,459.0
160,0.3500000000000001,22.0,466.0
161,0.3500000000000001,23.0,473.0
162,0.3500000000000001,24.0,477.0
163,0.3500000000000001,25.0,483.0
164,0.3500000000000001,26.0,491.0
165,0.3500000000000001,27.0,493.0
166,0.3500000000000001,28.0,496.0
167,0.3500000000000001,29.0,498.0
168,0.40000000000000013,2.0,247.0
169,0.40000000000000013,3.0,273.0
170,0.40000000000000013,4.0,280.0
171,0.40000000000000013,5.0,296.0
172,0.40000000000000013,6.0,310.0
173,0.40000000000000013,7.0,325.0
174,0.40000000000000013,8.0,334.0
175,0.40000000000000013,9.0,344.0
176,0.40000000000000013,10.0,354.0
177,0.40000000000000013,11.0,370.0
178,0.40000000000000013,12.0,382.0
179,0.40000000000000013,13.0,392.0
180,0.40000000000000013,14.0,398.0
181,0.40000000000000013,15.0,405.0
182,0.40000000000000013,16.0,418.0
183,0.40000000000000013,17.0,429.0
184,0.40000000000000013,18.0,437.0
185,0.40000000000000013,19.0,445.0
186,0.40000000000000013,20.0,451.0
187,0.40000000000000013,21.0,458.0
188,0.40000000000000013,22.0,463.0
189,0.40000000000000013,23.0,468.0
190,0.40000000000000013,24.0,476.0
191,0.40000000000000013,25.0,480.0
192,0.40000000000000013,26.0,487.0
193,0.40000000000000013,27.0,490.0
194,0.40000000000000013,28.0,494.0
195,0.40000000000000013,29.0,498.0
196,0.45000000000000007,2.0,253.0
197,0.45000000000000007,3.0,275.0
198,0.45000000000000007,4.0,284.0
199,0.45000000000000007,5.0,301.0
200,0.45000000000000007,6.0,314.0
201,0.45000000000000007,7.0,327.0
202,0.45000000000000007,8.0,338.0
203,0.45000000000000007,9.0,348.0
204,0.45000000000000007,10.0,357.0
205,0.45000000000000007,11.0,371.0
206,0.45000000000000007,12.0,384.0
207,0.45000000000000007,13.0,394.0
208,0.45000000000000007,14.0,400.0
209,0.45000000000000007,15.0,406.0
210,0.45000000000000007,16.0,419.0
211,0.45000000000000007,17.0,429.0
212,0.45000000000000007,18.0,436.0
213,0.45000000000000007,19.0,445.0
214,0.45000000000000007,20.0,451.0
215,0.45000000000000007,21.0,457.0
216,0.45000000000000007,22.0,463.0
217,0.45000000000000007,23.0,468.0
218,0.45000000000000007,24.0,473.0
219,0.45000000000000007,25.0,479.0
220,0.45000000000000007,26.0,487.0
221,0.45000000000000007,27.0,489.0
222,0.45000000000000007,28.0,493.0
223,0.45000000000000007,29.0,497.0
224,0.5000000000000001,2.0,255.0
225,0.5000000000000001,3.0,277.0
226,0.5000000000000001,4.0,289.0
227,0.5000000000000001,5.0,303.0
228,0.5000000000000001,6.0,317.0
229,0.5000000000000001,7.0,329.0
230,0.5000000000000001,8.0,340.0
231,0.5000000000000001,9.0,349.0
232,0.5000000000000001,10.0,358.0
233,0.5000000000000001,11.0,372.0
234,0.5000000000000001,12.0,385.0
235,0.5000000000000001,13.0,394.0
236,0.5000000000000001,14.0,400.0
237,0.5000000000000001,15.0,406.0
238,0.5000000000000001,16.0,419.0
239,0.5000000000000001,17.0,429.0
240,0.5000000000000001,18.0,436.0
241,0.5000000000000001,19.0,444.0
242,0.5000000000000001,20.0,451.0
243,0.5000000000000001,21.0,457.0
244,0.5000000000000001,22.0,462.0
245,0.5000000000000001,23.0,467.0
246,0.5000000000000001,24.0,473.0
247,0.5000000000000001,25.0,479.0
248,0.5000000000000001,26.0,486.0
249,0.5000000000000001,27.0,489.0
250,0.5000000000000001,28.0,493.0
251,0.5000000000000001,29.0,497.0
252,0.5500000000000002,2.0,254.0
253,0.5500000000000002,3.0,275.0
254,0.5500000000000002,4.0,288.0
255,0.5500000000000002,5.0,303.0
256,0.5500000000000002,6.0,316.0
257,0.5500000000000002,7.0,329.0
258,0.5500000000000002,8.0,340.0
259,0.5500000000000002,9.0,349.0
260,0.5500000000000002,10.0,358.0
261,0.5500000000000002,11.0,372.0
262,0.5500000000000002,12.0,384.0
263,0.5500000000000002,13.0,394.0
264,0.5500000000000002,14.0,400.0
265,0.5500000000000002,15.0,406.0
266,0.5500000000000002,16.0,419.0
267,0.5500000000000002,17.0,429.0
268,0.5500000000000002,18.0,436.0
269,0.5500000000000002,19.0,444.0
270,0.5500000000000002,20.0,451.0
271,0.5500000000000002,21.0,457.0
272,0.5500000000000002,22.0,462.0
273,0.5500000000000002,23.0,467.0
274,0.5500000000000002,24.0,473.0
275,0.5500000000000002,25.0,479.0
276,0.5500000000000002,26.0,486.0
277,0.5500000000000002,27.0,489.0
278,0.5500000000000002,28.0,493.0
279,0.5500000000000002,29.0,497.0
280,0.6000000000000002,2.0,256.0
281,0.6000000000000002,3.0,276.0
282,0.6000000000000002,4.0,288.0
283,0.6000000000000002,5.0,303.0
284,0.6000000000000002,6.0,316.0
285,0.6000000000000002,7.0,329.0
286,0.6000000000000002,8.0,339.0
287,0.6000000000000002,9.0,349.0
288,0.6000000000000002,10.0,356.0
289,0.6000000000000002,11.0,371.0
290,0.6000000000000002,12.0,384.0
291,0.6000000000000002,13.0,394.0
292,0.6000000000000002,14.0,400.0
293,0.6000000000000002,15.0,406.0
294,0.6000000000000002,16.0,419.0
295,0.6000000000000002,17.0,429.0
296,0.6000000000000002,18.0,436.0
297,0.6000000000000002,19.0,444.0
298,0.6000000000000002,20.0,451.0
299,0.6000000000000002,21.0,457.0
300,0.6000000000000002,22.0,462.0
301,0.6000000000000002,23.0,467.0
302,0.6000000000000002,24.0,473.0
303,0.6000000000000002,25.0,479.0
304,0.6000000000000002,26.0,486.0
305,0.6000000000000002,27.0,489.0
306,0.6000000000000002,28.0,493.0
307,0.6000000000000002,29.0,497.0
308,0.6500000000000001,2.0,255.0
309,0.6500000000000001,3.0,275.0
310,0.6500000000000001,4.0,288.0
311,0.6500000000000001,5.0,303.0
312,0.6500000000000001,6.0,316.0
313,0.6500000000000001,7.0,329.0
