,Eps,MinSamples,Misclassifications
0,0.1,2.0,676.0
1,0.1,3.0,639.0
2,0.1,4.0,592.0
3,0.1,5.0,556.0
4,0.1,6.0,643.0
5,0.1,7.0,651.0
6,0.1,8.0,681.0
7,0.1,9.0,692.0
8,0.1,10.0,713.0
9,0.1,11.0,741.0
10,0.1,12.0,824.0
11,0.1,13.0,824.0
12,0.1,14.0,824.0
13,0.1,15.0,824.0
14,0.1,16.0,824.0
15,0.1,17.0,824.0
16,0.1,18.0,824.0
17,0.1,19.0,824.0
18,0.1,20.0,824.0
19,0.1,21.0,824.0
20,0.1,22.0,824.0
21,0.1,23.0,824.0
22,0.1,24.0,824.0
23,0.1,25.0,824.0
24,0.1,26.0,824.0
25,0.1,27.0,824.0
26,0.1,28.0,824.0
27,0.1,29.0,824.0
28,0.15000000000000002,2.0,503.0
29,0.15000000000000002,3.0,459.0
30,0.15000000000000002,4.0,396.0
31,0.15000000000000002,5.0,348.0
32,0.15000000000000002,6.0,361.0
33,0.15000000000000002,7.0,414.0
34,0.15000000000000002,8.0,436.0
35,0.15000000000000002,9.0,444.0
36,0.15000000000000002,10.0,459.0
37,0.15000000000000002,11.0,470.0
38,0.15000000000000002,12.0,491.0
39,0.15000000000000002,13.0,532.0
40,0.15000000000000002,14.0,603.0
41,0.15000000000000002,15.0,647.0
42,0.15000000000000002,16.0,694.0
43,0.15000000000000002,17.0,758.0
44,0.15000000000000002,18.0,800.0
45,0.15000000000000002,19.0,818.0
46,0.15000000000000002,20.0,820.0
47,0.15000000000000002,21.0,822.0
48,0.15000000000000002,22.0,823.0
49,0.15000000000000002,23.0,824.0
50,0.15000000000000002,24.0,824.0
51,0.15000000000000002,25.0,824.0
52,0.15000000000000002,26.0,824.0
53,0.15000000000000002,27.0,824.0
54,0.15000000000000002,28.0,824.0
55,0.15000000000000002,29.0,824.0
56,0.20000000000000004,2.0,232.0
57,0.20000000000000004,3.0,208.0
58,0.20000000000000004,4.0,187.0
59,0.20000000000000004,5.0,190.0
60,0.20000000000000004,6.0,199.0
61,0.20000000000000004,7.0,207.0
62,0.20000000000000004,8.0,216.0
63,0.20000000000000004,9.0,234.0
64,0.20000000000000004,10.0,255.0
65,0.20000000000000004,11.0,284.0
66,0.20000000000000004,12.0,325.0
67,0.20000000000000004,13.0,371.0
68,0.20000000000000004,14.0,407.0
69,0.20000000000000004,15.0,461.0
70,0.20000000000000004,16.0,499.0
71,0.20000000000000004,17.0,535.0
72,0.20000000000000004,18.0,579.0
73,0.20000000000000004,19.0,617.0
74,0.20000000000000004,20.0,663.0
75,0.20000000000000004,21.0,688.0
76,0.20000000000000004,22.0,723.0
77,0.20000000000000004,23.0,753.0
78,0.20000000000000004,24.0,783.0
79,0.20000000000000004,25.0,792.0
80,0.20000000000000004,26.0,803.0
81,0.20000000000000004,27.0,811.0
82,0.20000000000000004,28.0,816.0
83,0.20000000000000004,29.0,821.0
84,0.25000000000000006,2.0,197.0
85,0.25000000000000006,3.0,184.0
86,0.25000000000000006,4.0,176.0
87,0.25000000000000006,5.0,179.0
88,0.25000000000000006,6.0,185.0
89,0.25000000000000006,7.0,193.0
90,0.25000000000000006,8.0,204.0
91,0.25000000000000006,9.0,216.0
92,0.25000000000000006,10.0,239.0
93,0.25000000000000006,11.0,256.0
94,0.25000000000000006,12.0,283.0
95,0.25000000000000006,13.0,325.0
96,0.25000000000000006,14.0,362.0
97,0.25000000000000006,15.0,392.0
98,0.25000000000000006,16.0,430.0
99,0.25000000000000006,17.0,458.0
100,0.25000000000000006,18.0,478.0
101,0.25000000000000006,19.0,502.0
102,0.25000000000000006,20.0,533.0
103,0.25000000000000006,21.0,569.0
104,0.25000000000000006,22.0,597.0
105,0.25000000000000006,23.0,630.0
106,0.25000000000000006,24.0,663.0
107,0.25000000000000006,25.0,690.0
108,0.25000000000000006,26.0,721.0
109,0.25000000000000006,27.0,738.0
110,0.25000000000000006,28.0,758.0
111,0.25000000000000006,29.0,777.0
112,0.30000000000000004,2.0,172.0
113,0.30000000000000004,3.0,163.0
114,0.30000000000000004,4.0,159.0
115,0.30000000000000004,5.0,168.0
116,0.30000000000000004,6.0,180.0
117,0.30000000000000004,7.0,188.0
118,0.30000000000000004,8.0,200.0
119,0.30000000000000004,9.0,216.0
120,0.30000000000000004,10.0,234.0
121,0.30000000000000004,11.0,250.0
122,0.30000000000000004,12.0,273.0
123,0.30000000000000004,13.0,305.0
124,0.30000000000000004,14.0,337.0
125,0.30000000000000004,15.0,366.0
126,0.30000000000000004,16.0,406.0
127,0.30000000000000004,17.0,433.0
128,0.30000000000000004,18.0,445.0
129,0.30000000000000004,19.0,464.0
130,0.30000000000000004,20.0,483.0
131,0.30000000000000004,21.0,510.0
132,0.30000000000000004,22.0,549.0
133,0.30000000000000004,23.0,572.0
134,0.30000000000000004,24.0,596.0
135,0.30000000000000004,25.0,623.0
136,0.30000000000000004,26.0,651.0
137,0.30000000000000004,27.0,675.0
138,0.30000000000000004,28.0,704.0
139,0.30000000000000004,29.0,726.0
140,0.3500000000000001,2.0,158.0
141,0.3500000000000001,3.0,153.0
142,0.3500000000000001,4.0,153.0
143,0.3500000000000001,5.0,161.0
144,0.3500000000000001,6.0,174.0
145,0.3500000000000001,7.0,184.0
146,0.3500000000000001,8.0,194.0
147,0.3500000000000001,9.0,214.0
148,0.3500000000000001,10.0,227.0
149,0.3500000000000001,11.0,239.0
150,0.3500000000000001,12.0,257.0
151,0.3500000000000001,13.0,284.0
152,0.3500000000000001,14.0,311.0
153,0.3500000000000001,15.0,337.0
154,0.3500000000000001,16.0,373.0
155,0.3500000000000001,17.0,402.0
156,0.3500000000000001,18.0,423.0
157,0.3500000000000001,19.0,450.0
158,0.3500000000000001,20.0,465.0
159,0.3500000000000001,21.0,488.0
160,0.3500000000000001,22.0,516.0
161,0.3500000000000001,23.0,538.0
162,0.3500000000000001,24.0,566.0
163,0.3500000000000001,25.0,590.0
164,0.3500000000000001,26.0,606.0
165,0.3500000000000001,27.0,636.0
166,0.3500000000000001,28.0,668.0
