,FilteredRange,FilteredDoppler,FilteredTheta,FilteredAngularVelocity,CentroidNumber
637,1.5333986324541586,0.021223857788789376,1.8023395696488183,0.03522472174567483,1
638,1.348635726886102,0.005312998795792415,2.027180181311457,0.0355892866785554,0
639,5.197287661194135,0.12014166587294539,1.2520676022639672,0.02801923495425175,2
640,1.5344598253435981,0.021223857788789376,1.804100805736102,0.03522472174567483,1
641,1.3489013768258917,0.005312998795792415,2.0289596456453847,0.0355892866785554,0
642,5.203294744487782,0.12014166587294539,1.2534685640116798,0.02801923495425175,2
643,1.5355210182330377,0.021223857788789376,1.805862041823386,0.03522472174567483,1
644,2.4991701718684656,0.0452585134878153,0.9726102796133578,0.014375458367464788,1
645,1.3491670267656815,0.005312998795792415,2.0307391099793124,0.0355892866785554,0
646,5.209301827781429,0.12014166587294539,1.2548695257593925,0.02801923495425175,2
647,2.5014330975428565,0.0452585134878153,0.973329052531731,0.014375458367464788,1
648,1.3494326767054712,0.005312998795792415,2.03251857431324,0.0355892866785554,0
649,5.215308911075076,0.12014166587294539,1.2562704875071051,0.02801923495425175,2
650,1.4754569266394144,0.008453038745708855,1.5998055879033652,0.02474053634787368,0
651,2.5036960232172474,0.0452585134878153,0.9740478254501042,0.014375458367464788,1
652,5.221315994368723,0.12014166587294539,1.2576714492548178,0.02801923495425175,2
653,1.4758795785766998,0.008453038745708855,1.601042614720759,0.02474053634787368,0
654,2.5059589488916383,0.0452585134878153,0.9747665983684773,0.014375458367464788,1
655,5.22732307766237,0.12014166587294539,1.2590724110025304,0.02801923495425175,2
656,1.408932976831353,0.0067709100644945674,1.488373416858037,0.02189643585648502,0
657,2.508221874566029,0.0452585134878153,0.9754853712868505,0.014375458367464788,1
658,5.233330160956017,0.12014166587294539,1.260473372750243,0.02801923495425175,2
659,1.3892796647630214,0.006271737590797781,1.4186931624461556,0.020129267911298866,0
660,2.51048480024042,0.0452585134878153,0.9762041442052237,0.014375458367464788,1
661,5.239337244249664,0.12014166587294539,1.2618743344979557,0.02801923495425175,2
662,1.3895932516425613,0.006271737590797781,1.4196996258417205,0.020129267911298866,0
663,2.512747725914811,0.0452585134878153,0.9769229171235969,0.014375458367464788,1
664,5.245344327543311,0.12014166587294539,1.2632752962456684,0.02801923495425175,2
665,1.3899068385221012,0.006271737590797781,1.4207060892372854,0.020129267911298866,0
666,2.515010651589202,0.0452585134878153,0.9776416900419701,0.014375458367464788,1
667,5.251351410836958,0.12014166587294539,1.264676257993381,0.02801923495425175,2
668,1.414377948263435,0.006874921682228346,1.305920416581718,0.017238078496788697,0
669,2.517273577263593,0.0452585134878153,0.9783604629603433,0.014375458367464788,1
670,5.257358494130605,0.12014166587294539,1.2660772197410937,0.02801923495425175,2
671,1.403451845320648,0.006593527199659095,1.2677364844367216,0.016263151254096168,0
672,2.5195365029379837,0.0452585134878153,0.9790792358787165,0.014375458367464788,1
673,5.263365577424252,0.12014166587294539,1.2674781814888063,0.02801923495425175,2
674,1.4037815216806309,0.006593527199659095,1.2685496419994264,0.016263151254096168,0
675,2.5217994286123746,0.0452585134878153,0.9797980087970897,0.014375458367464788,1
676,5.269372660717899,0.12014166587294539,1.268879143236519,0.02801923495425175,2
677,1.4041111980406138,0.006593527199659095,1.2693627995621313,0.016263151254096168,0
678,2.5240623542867655,0.0452585134878153,0.9805167817154629,0.014375458367464788,1
679,5.275379744011546,0.12014166587294539,1.2702801049842316,0.02801923495425175,2
680,1.4044408744005967,0.006593527199659095,1.270175957124836,0.016263151254096168,0
681,2.5263252799611564,0.0452585134878153,0.981235554633836,0.014375458367464788,1
682,5.281386827305193,0.12014166587294539,1.2716810667319443,0.02801923495425175,2
683,1.4047705507605797,0.006593527199659095,1.270989114687541,0.016263151254096168,0
684,2.5285882056355473,0.0452585134878153,0.9819543275522092,0.014375458367464788,1
685,5.28739391059884,0.12014166587294539,1.273082028479657,0.02801923495425175,2
686,1.564066827797544,0.010562730712192964,1.1305420134624509,0.012736053656398419,0
687,2.530851131309938,0.0452585134878153,0.9826731004705824,0.014375458367464788,1
688,5.293400993892487,0.12014166587294539,1.2744829902273695,0.02801923495425175,2
689,1.5762447203460175,0.010853611012139629,1.1159022415535678,0.012354616088565636,0
690,2.533114056984329,0.0452585134878153,0.9833918733889556,0.014375458367464788,1
691,5.299408077186134,0.12014166587294539,1.2758839519750822,0.02801923495425175,2
692,1.5767874008966245,0.010853611012139629,1.116519972357996,0.012354616088565636,0
693,2.53537698265872,0.0452585134878153,0.9841106463073288,0.014375458367464788,1
694,5.305415160479781,0.12014166587294539,1.2772849137227948,0.02801923495425175,2
695,1.5773300814472315,0.010853611012139629,1.1171377031624241,0.012354616088565636,0
696,2.537639908333111,0.0452585134878153,0.984829419225702,0.014375458367464788,1
697,5.3114222437734275,0.12014166587294539,1.2786858754705075,0.02801923495425175,2
698,1.5778727619978385,0.010853611012139629,1.1177554339668523,0.012354616088565636,0
699,2.539902834007502,0.0452585134878153,0.9855481921440752,0.014375458367464788,1
700,5.3174293270670745,0.12014166587294539,1.2800868372182201,0.02801923495425175,2
701,1.5784154425484456,0.010853611012139629,1.1183731647712805,0.012354616088565636,0
702,2.5421657596818927,0.0452585134878153,0.9862669650624484,0.014375458367464788,1
703,5.3234364103607215,0.12014166587294539,1.2814877989659328,0.02801923495425175,2
704,1.5789581230990526,0.010853611012139629,1.1189908955757086,0.012354616088565636,0
705,2.5444286853562836,0.0452585134878153,0.9869857379808216,0.014375458367464788,1
706,5.329443493654368,0.12014166587294539,1.2828887607136454,0.02801923495425175,2
707,1.5795008036496596,0.010853611012139629,1.1196086263801368,0.012354616088565636,0
708,2.5466916110306745,0.0452585134878153,0.9877045108991948,0.014375458367464788,1
709,5.335450576948015,0.12014166587294539,1.284289722461358,0.02801923495425175,2
710,1.5800434842002666,0.010853611012139629,1.120226357184565,0.012354616088565636,0
711,2.5489545367050654,0.0452585134878153,0.9884232838175679,0.014375458367464788,1
712,5.341457660241662,0.12014166587294539,1.2856906842090707,0.02801923495425175,2
713,1.5805861647508737,0.010853611012139629,1.1208440879889932,0.012354616088565636,0
714,2.5512174623794563,0.0452585134878153,0.9891420567359411,0.014375458367464788,1
715,5.347464743535309,0.12014166587294539,1.2870916459567834,0.02801923495425175,2
716,1.5811288453014807,0.010853611012139629,1.1214618187934213,0.012354616088565636,0
