,Eps,MinSamples,Misclassifications
0,0.1,2.0,787.0
1,0.1,3.0,764.0
2,0.1,4.0,751.0
3,0.1,5.0,711.0
4,0.1,6.0,791.0
5,0.1,7.0,787.0
6,0.1,8.0,799.0
7,0.1,9.0,800.0
8,0.1,10.0,801.0
9,0.1,11.0,801.0
10,0.1,12.0,801.0
11,0.1,13.0,801.0
12,0.1,14.0,801.0
13,0.1,15.0,801.0
14,0.1,16.0,801.0
15,0.1,17.0,801.0
16,0.1,18.0,801.0
17,0.1,19.0,801.0
18,0.1,20.0,801.0
19,0.1,21.0,801.0
20,0.1,22.0,801.0
21,0.1,23.0,801.0
22,0.1,24.0,801.0
23,0.1,25.0,801.0
24,0.1,26.0,801.0
25,0.1,27.0,801.0
26,0.1,28.0,801.0
27,0.1,29.0,801.0
28,0.15000000000000002,2.0,629.0
29,0.15000000000000002,3.0,545.0
30,0.15000000000000002,4.0,456.0
31,0.15000000000000002,5.0,437.0
32,0.15000000000000002,6.0,423.0
33,0.15000000000000002,7.0,464.0
34,0.15000000000000002,8.0,558.0
35,0.15000000000000002,9.0,610.0
36,0.15000000000000002,10.0,660.0
37,0.15000000000000002,11.0,702.0
38,0.15000000000000002,12.0,753.0
39,0.15000000000000002,13.0,780.0
40,0.15000000000000002,14.0,800.0
41,0.15000000000000002,15.0,800.0
42,0.15000000000000002,16.0,801.0
43,0.15000000000000002,17.0,801.0
44,0.15000000000000002,18.0,801.0
45,0.15000000000000002,19.0,801.0
46,0.15000000000000002,20.0,801.0
47,0.15000000000000002,21.0,801.0
48,0.15000000000000002,22.0,801.0
49,0.15000000000000002,23.0,801.0
50,0.15000000000000002,24.0,801.0
51,0.15000000000000002,25.0,801.0
52,0.15000000000000002,26.0,801.0
53,0.15000000000000002,27.0,801.0
54,0.15000000000000002,28.0,801.0
55,0.15000000000000002,29.0,801.0
56,0.20000000000000004,2.0,359.0
57,0.20000000000000004,3.0,281.0
58,0.20000000000000004,4.0,233.0
59,0.20000000000000004,5.0,249.0
60,0.20000000000000004,6.0,250.0
61,0.20000000000000004,7.0,253.0
62,0.20000000000000004,8.0,263.0
63,0.20000000000000004,9.0,284.0
64,0.20000000000000004,10.0,337.0
65,0.20000000000000004,11.0,380.0
66,0.20000000000000004,12.0,425.0
67,0.20000000000000004,13.0,484.0
68,0.20000000000000004,14.0,545.0
69,0.20000000000000004,15.0,623.0
70,0.20000000000000004,16.0,690.0
71,0.20000000000000004,17.0,734.0
72,0.20000000000000004,18.0,770.0
73,0.20000000000000004,19.0,788.0
74,0.20000000000000004,20.0,801.0
75,0.20000000000000004,21.0,801.0
76,0.20000000000000004,22.0,801.0
77,0.20000000000000004,23.0,801.0
78,0.20000000000000004,24.0,801.0
79,0.20000000000000004,25.0,801.0
80,0.20000000000000004,26.0,801.0
81,0.20000000000000004,27.0,801.0
82,0.20000000000000004,28.0,801.0
83,0.20000000000000004,29.0,801.0
84,0.25000000000000006,2.0,293.0
85,0.25000000000000006,3.0,225.0
86,0.25000000000000006,4.0,194.0
87,0.25000000000000006,5.0,206.0
88,0.25000000000000006,6.0,223.0
89,0.25000000000000006,7.0,232.0
90,0.25000000000000006,8.0,242.0
91,0.25000000000000006,9.0,269.0
92,0.25000000000000006,10.0,299.0
93,0.25000000000000006,11.0,326.0
94,0.25000000000000006,12.0,367.0
95,0.25000000000000006,13.0,413.0
96,0.25000000000000006,14.0,455.0
97,0.25000000000000006,15.0,497.0
98,0.25000000000000006,16.0,555.0
99,0.25000000000000006,17.0,604.0
100,0.25000000000000006,18.0,656.0
101,0.25000000000000006,19.0,695.0
102,0.25000000000000006,20.0,725.0
103,0.25000000000000006,21.0,750.0
104,0.25000000000000006,22.0,770.0
105,0.25000000000000006,23.0,783.0
106,0.25000000000000006,24.0,791.0
107,0.25000000000000006,25.0,798.0
108,0.25000000000000006,26.0,800.0
109,0.25000000000000006,27.0,801.0
110,0.25000000000000006,28.0,801.0
111,0.25000000000000006,29.0,801.0
112,0.30000000000000004,2.0,241.0
113,0.30000000000000004,3.0,186.0
114,0.30000000000000004,4.0,174.0
115,0.30000000000000004,5.0,193.0
116,0.30000000000000004,6.0,204.0
117,0.30000000000000004,7.0,220.0
118,0.30000000000000004,8.0,228.0
119,0.30000000000000004,9.0,248.0
120,0.30000000000000004,10.0,282.0
121,0.30000000000000004,11.0,306.0
122,0.30000000000000004,12.0,338.0
123,0.30000000000000004,13.0,371.0
124,0.30000000000000004,14.0,406.0
125,0.30000000000000004,15.0,445.0
126,0.30000000000000004,16.0,489.0
127,0.30000000000000004,17.0,531.0
128,0.30000000000000004,18.0,571.0
129,0.30000000000000004,19.0,612.0
130,0.30000000000000004,20.0,645.0
131,0.30000000000000004,21.0,689.0
132,0.30000000000000004,22.0,720.0
133,0.30000000000000004,23.0,746.0
134,0.30000000000000004,24.0,760.0
135,0.30000000000000004,25.0,775.0
136,0.30000000000000004,26.0,785.0
137,0.30000000000000004,27.0,790.0
138,0.30000000000000004,28.0,795.0
