,TI,Group 16,xTi,yTi,xGroup16,yGroup16
0,1.0,1.0,1.1078990697860718,2.9824163913726807,1.0904175434261558,2.911117434501648
1,1.0,1.0,1.12432861328125,2.968390703201294,1.0435738401349457,2.930453291806517
2,1.0,1.0,1.1010611057281494,2.9821360111236572,1.0666250316903076,2.9193674942941144
3,1.0,1.0,1.089613437652588,2.980640411376953,1.020569440833741,2.9055812818877595
4,1.0,1.0,1.0554136037826538,2.9849374294281006,1.03691240624654,2.9582342401746717
5,1.0,1.0,1.0395803451538086,2.9921562671661377,1.0241529723454834,2.9185808111776272
6,1.0,1.0,1.0205552577972412,2.9957456588745117,1.0648859791566052,2.915939072715428
7,1.0,1.0,,,0.983706762754486,2.9735692913216876
8,1.0,1.0,,,1.0092778196969039,2.993350628139506
9,1.0,1.0,1.0527576208114624,3.0260517597198486,0.9828052666762831,2.9824570908117183
10,1.0,1.0,1.0435278415679932,3.0302510261535645,0.9436512517413556,2.968520520258033
11,1.0,1.0,1.004351019859314,3.0445854663848877,1.0336089283728784,2.954238539269255
12,1.0,1.0,1.0044947862625122,3.042631149291992,1.0506850811180286,2.939873761507804
13,1.0,1.0,1.0090441703796387,3.039325475692749,1.0136358402320653,2.968894227054151
14,1.0,1.0,1.0127619504928589,3.03190279006958,1.0430471356893043,2.9450475007259067
15,1.0,1.0,1.0425249338150024,3.0174295902252197,0.97415193872464,2.957299590663598
16,1.0,1.0,1.017246961593628,3.0183255672454834,0.9529719694066133,2.9722351110944865
17,1.0,1.0,1.00165855884552,3.0181503295898438,0.9367242176705812,3.000519223938272
18,1.0,1.0,0.98604816198349,3.0193910598754883,1.1062688085497892,2.915770568271129
19,1.0,1.0,1.067897915840149,2.98683762550354,1.0682030231663309,2.952051471044312
20,1.0,1.0,1.0775940418243408,2.979509115219116,1.1437408590958182,2.908154943031437
21,1.0,1.0,1.1220020055770874,2.9641647338867188,0.995724957962001,2.9393428129969545
22,1.0,1.0,1.0577795505523682,2.983196973800659,1.017276610094716,2.9265590758030733
23,1.0,1.0,1.048036813735962,2.980520009994507,1.0599453340235567,2.920546002032697
24,1.0,1.0,1.0590317249298096,2.973712921142578,1.0566303892825326,2.9354351608850213
25,1.0,1.0,1.0665614604949951,2.9782462120056152,1.047241767344134,2.902048601454038
26,1.0,1.0,1.0622749328613281,2.9828267097473145,1.0210388411101092,2.9145799469530314
27,1.0,1.0,1.0631879568099976,2.982640504837036,1.10652930231949,2.8938856924477836
28,1.0,1.0,1.0709929466247559,2.9809770584106445,1.1062418504147236,2.9366150704433713
29,1.0,1.0,1.103549599647522,2.978684186935425,1.0662825780661198,2.934838177468178
30,1.0,1.0,1.1170238256454468,2.983140468597412,1.0893171938345028,2.967985332368701
31,1.0,1.0,1.11416757106781,2.995654821395874,1.0673996634855727,2.9603016288186508
32,1.0,1.0,1.0953036546707153,3.0039350986480713,1.1059056739894049,2.9560285758253357
33,1.0,1.0,1.1056478023529053,3.0060133934020996,1.0922756053335176,2.98263283272006
34,1.0,1.0,1.101340413093567,3.0184195041656494,1.1289665220477585,2.9682687691856975
