,Number Of People,Iteration,Runtime,With/Without
2643,2,322,17,Without Preliminary Noise Reduction
2644,2,323,2,With Preliminary Noise Reduction
2645,2,323,22,Without Preliminary Noise Reduction
2646,2,324,9,With Preliminary Noise Reduction
2647,2,324,22,Without Preliminary Noise Reduction
2648,2,325,7,With Preliminary Noise Reduction
2649,2,325,16,Without Preliminary Noise Reduction
2650,2,326,18,With Preliminary Noise Reduction
2651,2,326,20,Without Preliminary Noise Reduction
2652,2,327,19,With Preliminary Noise Reduction
2653,2,327,22,Without Preliminary Noise Reduction
2654,2,328,7,With Preliminary Noise Reduction
2655,2,328,25,Without Preliminary Noise Reduction
2656,2,329,4,With Preliminary Noise Reduction
2657,2,329,21,Without Preliminary Noise Reduction
2658,2,330,18,With Preliminary Noise Reduction
2659,2,330,16,Without Preliminary Noise Reduction
2660,2,331,7,With Preliminary Noise Reduction
2661,2,331,23,Without Preliminary Noise Reduction
2662,2,332,6,With Preliminary Noise Reduction
2663,2,332,15,Without Preliminary Noise Reduction
2664,2,333,19,With Preliminary Noise Reduction
2665,2,333,18,Without Preliminary Noise Reduction
2666,2,334,15,With Preliminary Noise Reduction
2667,2,334,17,Without Preliminary Noise Reduction
2668,2,335,3,With Preliminary Noise Reduction
2669,2,335,21,Without Preliminary Noise Reduction
2670,2,336,9,With Preliminary Noise Reduction
2671,2,336,23,Without Preliminary Noise Reduction
2672,2,337,11,With Preliminary Noise Reduction
2673,2,337,21,Without Preliminary Noise Reduction
2674,2,338,13,With Preliminary Noise Reduction
2675,2,338,20,Without Preliminary Noise Reduction
2676,2,339,3,With Preliminary Noise Reduction
2677,2,339,18,Without Preliminary Noise Reduction
2678,2,340,9,With Preliminary Noise Reduction
2679,2,340,17,Without Preliminary Noise Reduction
2680,2,341,8,With Preliminary Noise Reduction
2681,2,341,16,Without Preliminary Noise Reduction
2682,2,342,16,With Preliminary Noise Reduction
2683,2,342,25,Without Preliminary Noise Reduction
2684,2,343,1,With Preliminary Noise Reduction
2685,2,343,19,Without Preliminary Noise Reduction
2686,2,344,13,With Preliminary Noise Reduction
2687,2,344,18,Without Preliminary Noise Reduction
2688,2,345,3,With Preliminary Noise Reduction
2689,2,345,21,Without Preliminary Noise Reduction
2690,2,346,8,With Preliminary Noise Reduction
2691,2,346,24,Without Preliminary Noise Reduction
2692,2,347,6,With Preliminary Noise Reduction
2693,2,347,24,Without Preliminary Noise Reduction
2694,2,348,19,With Preliminary Noise Reduction
2695,2,348,24,Without Preliminary Noise Reduction
2696,2,349,3,With Preliminary Noise Reduction
2697,2,349,17,Without Preliminary Noise Reduction
2698,2,350,4,With Preliminary Noise Reduction
2699,2,350,24,Without Preliminary Noise Reduction
2700,2,351,2,With Preliminary Noise Reduction
2701,2,351,20,Without Preliminary Noise Reduction
2702,2,352,3,With Preliminary Noise Reduction
2703,2,352,21,Without Preliminary Noise Reduction
2704,2,353,7,With Preliminary Noise Reduction
2705,2,353,23,Without Preliminary Noise Reduction
2706,2,354,10,With Preliminary Noise Reduction
2707,2,354,22,Without Preliminary Noise Reduction
2708,2,355,9,With Preliminary Noise Reduction
2709,2,355,23,Without Preliminary Noise Reduction
2710,2,356,9,With Preliminary Noise Reduction
2711,2,356,20,Without Preliminary Noise Reduction
2712,2,357,13,With Preliminary Noise Reduction
2713,2,357,20,Without Preliminary Noise Reduction
2714,2,358,18,With Preliminary Noise Reduction
2715,2,358,20,Without Preliminary Noise Reduction
2716,2,359,11,With Preliminary Noise Reduction
2717,2,359,24,Without Preliminary Noise Reduction
2718,2,360,20,With Preliminary Noise Reduction
2719,2,360,24,Without Preliminary Noise Reduction
2720,2,361,15,With Preliminary Noise Reduction
2721,2,361,20,Without Preliminary Noise Reduction
2722,2,362,12,With Preliminary Noise Reduction
2723,2,362,16,Without Preliminary Noise Reduction
2724,2,363,11,With Preliminary Noise Reduction
2725,2,363,20,Without Preliminary Noise Reduction
2726,2,364,16,With Preliminary Noise Reduction
2727,2,364,16,Without Preliminary Noise Reduction
2728,2,365,2,With Preliminary Noise Reduction
2729,2,365,15,Without Preliminary Noise Reduction
2730,2,366,20,With Preliminary Noise Reduction
2731,2,366,18,Without Preliminary Noise Reduction
2732,2,367,9,With Preliminary Noise Reduction
2733,2,367,23,Without Preliminary Noise Reduction
2734,2,368,6,With Preliminary Noise Reduction
2735,2,368,25,Without Preliminary Noise Reduction
2736,2,369,14,With Preliminary Noise Reduction
2737,2,369,20,Without Preliminary Noise Reduction
2738,2,370,3,With Preliminary Noise Reduction
2739,2,370,19,Without Preliminary Noise Reduction
2740,2,371,9,With Preliminary Noise Reduction
2741,2,371,19,Without Preliminary Noise Reduction
2742,2,372,18,With Preliminary Noise Reduction
2743,2,372,25,Without Preliminary Noise Reduction
2744,2,373,1,With Preliminary Noise Reduction
2745,2,373,15,Without Preliminary Noise Reduction
2746,2,374,14,With Preliminary Noise Reduction
2747,2,374,17,Without Preliminary Noise Reduction
2748,2,375,1,With Preliminary Noise Reduction
2749,2,375,24,Without Preliminary Noise Reduction
2750,2,376,11,With Preliminary Noise Reduction
2751,2,376,22,Without Preliminary Noise Reduction
2752,2,377,19,With Preliminary Noise Reduction
2753,2,377,24,Without Preliminary Noise Reduction
2754,2,378,0,With Preliminary Noise Reduction
2755,2,378,17,Without Preliminary Noise Reduction
2756,2,379,10,With Preliminary Noise Reduction
2757,2,379,21,Without Preliminary Noise Reduction
2758,2,380,20,With Preliminary Noise Reduction
2759,2,380,23,Without Preliminary Noise Reduction
2760,2,381,20,With Preliminary Noise Reduction
2761,2,381,15,Without Preliminary Noise Reduction
2762,2,382,4,With Preliminary Noise Reduction
2763,2,382,16,Without Preliminary Noise Reduction
2764,2,383,19,With Preliminary Noise Reduction
2765,2,383,22,Without Preliminary Noise Reduction
2766,2,384,0,With Preliminary Noise Reduction
2767,2,384,25,Without Preliminary Noise Reduction
2768,2,385,0,With Preliminary Noise Reduction
2769,2,385,18,Without Preliminary Noise Reduction
2770,2,386,1,With Preliminary Noise Reduction
2771,2,386,22,Without Preliminary Noise Reduction
2772,2,387,4,With Preliminary Noise Reduction
2773,2,387,19,Without Preliminary Noise Reduction
2774,2,388,17,With Preliminary Noise Reduction
2775,2,388,17,Without Preliminary Noise Reduction
2776,2,389,8,With Preliminary Noise Reduction
2777,2,389,17,Without Preliminary Noise Reduction
2778,2,390,17,With Preliminary Noise Reduction
2779,2,390,19,Without Preliminary Noise Reduction
2780,2,391,13,With Preliminary Noise Reduction
2781,2,391,18,Without Preliminary Noise Reduction
2782,2,392,7,With Preliminary Noise Reduction
2783,2,392,19,Without Preliminary Noise Reduction
2784,2,393,2,With Preliminary Noise Reduction
2785,2,393,25,Without Preliminary Noise Reduction
2786,2,394,4,With Preliminary Noise Reduction
2787,2,394,19,Without Preliminary Noise Reduction
2788,2,395,19,With Preliminary Noise Reduction
2789,2,395,16,Without Preliminary Noise Reduction
2790,2,396,16,With Preliminary Noise Reduction
2791,2,396,15,Without Preliminary Noise Reduction
2792,2,397,18,With Preliminary Noise Reduction
2793,2,397,20,Without Preliminary Noise Reduction
2794,2,398,1,With Preliminary Noise Reduction
2795,2,398,20,Without Preliminary Noise Reduction
2796,2,399,14,With Preliminary Noise Reduction
2797,2,399,24,Without Preliminary Noise Reduction
2798,2,400,19,With Preliminary Noise Reduction
2799,2,400,17,Without Preliminary Noise Reduction
2800,2,401,14,With Preliminary Noise Reduction
2801,2,401,22,Without Preliminary Noise Reduction
2802,2,402,6,With Preliminary Noise Reduction
2803,2,402,25,Without Preliminary Noise Reduction
2804,2,403,0,With Preliminary Noise Reduction
2805,2,403,22,Without Preliminary Noise Reduction
2806,2,404,15,With Preliminary Noise Reduction
2807,2,404,20,Without Preliminary Noise Reduction
2808,2,405,9,With Preliminary Noise Reduction
2809,2,405,21,Without Preliminary Noise Reduction
2810,2,406,14,With Preliminary Noise Reduction
2811,2,406,18,Without Preliminary Noise Reduction
2812,2,407,9,With Preliminary Noise Reduction
2813,2,407,16,Without Preliminary Noise Reduction
2814,2,408,2,With Preliminary Noise Reduction
2815,2,408,20,Without Preliminary Noise Reduction
2816,2,409,16,With Preliminary Noise Reduction
2817,2,409,16,Without Preliminary Noise Reduction
2818,2,410,2,With Preliminary Noise Reduction
2819,2,410,20,Without Preliminary Noise Reduction
2820,2,411,8,With Preliminary Noise Reduction
2821,2,411,22,Without Preliminary Noise Reduction
2822,2,412,1,With Preliminary Noise Reduction
2823,2,412,22,Without Preliminary Noise Reduction
2824,2,413,3,With Preliminary Noise Reduction
2825,2,413,17,Without Preliminary Noise Reduction
2826,2,414,1,With Preliminary Noise Reduction
2827,2,414,25,Without Preliminary Noise Reduction
2828,2,415,10,With Preliminary Noise Reduction
2829,2,415,22,Without Preliminary Noise Reduction
2830,2,416,2,With Preliminary Noise Reduction
2831,2,416,21,Without Preliminary Noise Reduction
2832,2,417,17,With Preliminary Noise Reduction
2833,2,417,15,Without Preliminary Noise Reduction
2834,2,418,10,With Preliminary Noise Reduction
2835,2,418,22,Without Preliminary Noise Reduction
2836,2,419,8,With Preliminary Noise Reduction
2837,2,419,16,Without Preliminary Noise Reduction
2838,2,420,1,With Preliminary Noise Reduction
2839,2,420,23,Without Preliminary Noise Reduction
2840,2,421,11,With Preliminary Noise Reduction
2841,2,421,24,Without Preliminary Noise Reduction
2842,2,422,19,With Preliminary Noise Reduction
2843,2,422,24,Without Preliminary Noise Reduction
2844,2,423,0,With Preliminary Noise Reduction
2845,2,423,17,Without Preliminary Noise Reduction
2846,2,424,19,With Preliminary Noise Reduction
2847,2,424,23,Without Preliminary Noise Reduction
2848,2,425,1,With Preliminary Noise Reduction
2849,2,425,19,Without Preliminary Noise Reduction
2850,2,426,3,With Preliminary Noise Reduction
2851,2,426,21,Without Preliminary Noise Reduction
2852,2,427,1,With Preliminary Noise Reduction
2853,2,427,19,Without Preliminary Noise Reduction
2854,2,428,18,With Preliminary Noise Reduction
2855,2,428,23,Without Preliminary Noise Reduction
2856,2,429,2,With Preliminary Noise Reduction
2857,2,429,24,Without Preliminary Noise Reduction
2858,2,430,20,With Preliminary Noise Reduction
2859,2,430,21,Without Preliminary Noise Reduction
2860,2,431,3,With Preliminary Noise Reduction
2861,2,431,22,Without Preliminary Noise Reduction
2862,2,432,19,With Preliminary Noise Reduction
2863,2,432,24,Without Preliminary Noise Reduction
2864,2,433,4,With Preliminary Noise Reduction
2865,2,433,15,Without Preliminary Noise Reduction
2866,2,434,18,With Preliminary Noise Reduction
2867,2,434,19,Without Preliminary Noise Reduction
2868,2,435,5,With Preliminary Noise Reduction
2869,2,435,15,Without Preliminary Noise Reduction
2870,2,436,6,With Preliminary Noise Reduction
2871,2,436,18,Without Preliminary Noise Reduction
2872,2,437,11,With Preliminary Noise Reduction
2873,2,437,22,Without Preliminary Noise Reduction
2874,2,438,7,With Preliminary Noise Reduction
2875,2,438,24,Without Preliminary Noise Reduction
2876,2,439,18,With Preliminary Noise Reduction
2877,2,439,17,Without Preliminary Noise Reduction
2878,2,440,10,With Preliminary Noise Reduction
2879,2,440,15,Without Preliminary Noise Reduction
2880,2,441,14,With Preliminary Noise Reduction
2881,2,441,24,Without Preliminary Noise Reduction
2882,2,442,18,With Preliminary Noise Reduction
2883,2,442,23,Without Preliminary Noise Reduction
2884,2,443,15,With Preliminary Noise Reduction
2885,2,443,21,Without Preliminary Noise Reduction
2886,2,444,20,With Preliminary Noise Reduction
2887,2,444,16,Without Preliminary Noise Reduction
2888,2,445,9,With Preliminary Noise Reduction
2889,2,445,18,Without Preliminary Noise Reduction
2890,2,446,7,With Preliminary Noise Reduction
2891,2,446,17,Without Preliminary Noise Reduction
2892,2,447,17,With Preliminary Noise Reduction
2893,2,447,20,Without Preliminary Noise Reduction
2894,2,448,16,With Preliminary Noise Reduction
2895,2,448,24,Without Preliminary Noise Reduction
2896,2,449,8,With Preliminary Noise Reduction
2897,2,449,19,Without Preliminary Noise Reduction
2898,2,450,0,With Preliminary Noise Reduction
2899,2,450,25,Without Preliminary Noise Reduction
2900,2,451,15,With Preliminary Noise Reduction
2901,2,451,24,Without Preliminary Noise Reduction
2902,2,452,14,With Preliminary Noise Reduction
2903,2,452,21,Without Preliminary Noise Reduction
2904,2,453,1,With Preliminary Noise Reduction
2905,2,453,24,Without Preliminary Noise Reduction
2906,2,454,11,With Preliminary Noise Reduction
2907,2,454,23,Without Preliminary Noise Reduction
2908,2,455,6,With Preliminary Noise Reduction
2909,2,455,16,Without Preliminary Noise Reduction
2910,2,456,9,With Preliminary Noise Reduction
2911,2,456,22,Without Preliminary Noise Reduction
2912,2,457,18,With Preliminary Noise Reduction
2913,2,457,19,Without Preliminary Noise Reduction
2914,2,458,4,With Preliminary Noise Reduction
2915,2,458,22,Without Preliminary Noise Reduction
2916,2,459,3,With Preliminary Noise Reduction
2917,2,459,23,Without Preliminary Noise Reduction
2918,2,460,18,With Preliminary Noise Reduction
2919,2,460,20,Without Preliminary Noise Reduction
2920,2,461,16,With Preliminary Noise Reduction
2921,2,461,19,Without Preliminary Noise Reduction
2922,2,462,7,With Preliminary Noise Reduction
2923,2,462,17,Without Preliminary Noise Reduction
2924,2,463,6,With Preliminary Noise Reduction
2925,2,463,15,Without Preliminary Noise Reduction
2926,2,464,12,With Preliminary Noise Reduction
2927,2,464,16,Without Preliminary Noise Reduction
2928,2,465,13,With Preliminary Noise Reduction
2929,2,465,18,Without Preliminary Noise Reduction
2930,2,466,12,With Preliminary Noise Reduction
2931,2,466,18,Without Preliminary Noise Reduction
2932,2,467,15,With Preliminary Noise Reduction
2933,2,467,25,Without Preliminary Noise Reduction
2934,2,468,15,With Preliminary Noise Reduction
2935,2,468,23,Without Preliminary Noise Reduction
2936,2,469,11,With Preliminary Noise Reduction
2937,2,469,19,Without Preliminary Noise Reduction
2938,2,470,14,With Preliminary Noise Reduction
2939,2,470,23,Without Preliminary Noise Reduction
2940,2,471,19,With Preliminary Noise Reduction
2941,2,471,23,Without Preliminary Noise Reduction
2942,2,472,11,With Preliminary Noise Reduction
2943,2,472,17,Without Preliminary Noise Reduction
2944,2,473,18,With Preliminary Noise Reduction
2945,2,473,25,Without Preliminary Noise Reduction
2946,2,474,11,With Preliminary Noise Reduction
2947,2,474,16,Without Preliminary Noise Reduction
2948,2,475,6,With Preliminary Noise Reduction
2949,2,475,18,Without Preliminary Noise Reduction
2950,2,476,7,With Preliminary Noise Reduction
2951,2,476,22,Without Preliminary Noise Reduction
2952,2,477,16,With Preliminary Noise Reduction
2953,2,477,18,Without Preliminary Noise Reduction
2954,2,478,17,With Preliminary Noise Reduction
2955,2,478,21,Without Preliminary Noise Reduction
2956,2,479,11,With Preliminary Noise Reduction
2957,2,479,15,Without Preliminary Noise Reduction
2958,2,480,4,With Preliminary Noise Reduction
2959,2,480,23,Without Preliminary Noise Reduction
2960,2,481,2,With Preliminary Noise Reduction
2961,2,481,23,Without Preliminary Noise Reduction
2962,2,482,12,With Preliminary Noise Reduction
2963,2,482,18,Without Preliminary Noise Reduction
2964,2,483,17,With Preliminary Noise Reduction
2965,2,483,24,Without Preliminary Noise Reduction
2966,2,484,16,With Preliminary Noise Reduction
2967,2,484,17,Without Preliminary Noise Reduction
2968,2,485,9,With Preliminary Noise Reduction
2969,2,485,17,Without Preliminary Noise Reduction
2970,2,486,17,With Preliminary Noise Reduction
2971,2,486,20,Without Preliminary Noise Reduction
2972,2,487,16,With Preliminary Noise Reduction
2973,2,487,24,Without Preliminary Noise Reduction
2974,2,488,10,With Preliminary Noise Reduction
2975,2,488,23,Without Preliminary Noise Reduction
2976,2,489,14,With Preliminary Noise Reduction
2977,2,489,25,Without Preliminary Noise Reduction
2978,2,490,18,With Preliminary Noise Reduction
2979,2,490,17,Without Preliminary Noise Reduction
2980,2,491,20,With Preliminary Noise Reduction
2981,2,491,17,Without Preliminary Noise Reduction
2982,2,492,14,With Preliminary Noise Reduction
2983,2,492,25,Without Preliminary Noise Reduction
2984,2,493,20,With Preliminary Noise Reduction
2985,2,493,23,Without Preliminary Noise Reduction
2986,2,494,3,With Preliminary Noise Reduction
2987,2,494,21,Without Preliminary Noise Reduction
2988,2,495,10,With Preliminary Noise Reduction
2989,2,495,15,Without Preliminary Noise Reduction
2990,2,496,18,With Preliminary Noise Reduction
2991,2,496,22,Without Preliminary Noise Reduction
2992,2,497,19,With Preliminary Noise Reduction
2993,2,497,22,Without Preliminary Noise Reduction
2994,2,498,18,With Preliminary Noise Reduction
2995,2,498,19,Without Preliminary Noise Reduction
2996,2,499,3,With Preliminary Noise Reduction
2997,2,499,22,Without Preliminary Noise Reduction
2998,2,500,8,With Preliminary Noise Reduction
2999,2,500,20,Without Preliminary Noise Reduction
3000,2,501,3,With Preliminary Noise Reduction
3001,2,501,17,Without Preliminary Noise Reduction
3002,2,502,6,With Preliminary Noise Reduction
3003,2,502,15,Without Preliminary Noise Reduction
3004,2,503,4,With Preliminary Noise Reduction
3005,2,503,18,Without Preliminary Noise Reduction
3006,2,504,14,With Preliminary Noise Reduction
3007,2,504,17,Without Preliminary Noise Reduction
3008,2,505,5,With Preliminary Noise Reduction
3009,2,505,15,Without Preliminary Noise Reduction
3010,2,506,8,With Preliminary Noise Reduction
3011,2,506,22,Without Preliminary Noise Reduction
3012,2,507,13,With Preliminary Noise Reduction
3013,2,507,21,Without Preliminary Noise Reduction
3014,2,508,17,With Preliminary Noise Reduction
3015,2,508,24,Without Preliminary Noise Reduction
3016,2,509,17,With Preliminary Noise Reduction
3017,2,509,22,Without Preliminary Noise Reduction
3018,2,510,20,With Preliminary Noise Reduction
3019,2,510,18,Without Preliminary Noise Reduction
3020,2,511,4,With Preliminary Noise Reduction
3021,2,511,20,Without Preliminary Noise Reduction
3022,2,512,13,With Preliminary Noise Reduction
3023,2,512,15,Without Preliminary Noise Reduction
3024,2,513,1,With Preliminary Noise Reduction
3025,2,513,17,Without Preliminary Noise Reduction
3026,2,514,13,With Preliminary Noise Reduction
3027,2,514,20,Without Preliminary Noise Reduction
3028,2,515,18,With Preliminary Noise Reduction
3029,2,515,17,Without Preliminary Noise Reduction
3030,2,516,6,With Preliminary Noise Reduction
3031,2,516,22,Without Preliminary Noise Reduction
3032,2,517,10,With Preliminary Noise Reduction
3033,2,517,24,Without Preliminary Noise Reduction
3034,2,518,9,With Preliminary Noise Reduction
3035,2,518,17,Without Preliminary Noise Reduction
3036,2,519,11,With Preliminary Noise Reduction
3037,2,519,15,Without Preliminary Noise Reduction
3038,2,520,18,With Preliminary Noise Reduction
3039,2,520,17,Without Preliminary Noise Reduction
3040,2,521,9,With Preliminary Noise Reduction
3041,2,521,15,Without Preliminary Noise Reduction
3042,2,522,17,With Preliminary Noise Reduction
3043,2,522,19,Without Preliminary Noise Reduction
3044,2,523,11,With Preliminary Noise Reduction
3045,2,523,15,Without Preliminary Noise Reduction
3046,2,524,16,With Preliminary Noise Reduction
3047,2,524,23,Without Preliminary Noise Reduction
3048,2,525,15,With Preliminary Noise Reduction
3049,2,525,17,Without Preliminary Noise Reduction
3050,2,526,16,With Preliminary Noise Reduction
3051,2,526,17,Without Preliminary Noise Reduction
3052,2,527,16,With Preliminary Noise Reduction
3053,2,527,24,Without Preliminary Noise Reduction
3054,2,528,0,With Preliminary Noise Reduction
3055,2,528,21,Without Preliminary Noise Reduction
3056,2,529,4,With Preliminary Noise Reduction
3057,2,529,15,Without Preliminary Noise Reduction
3058,2,530,6,With Preliminary Noise Reduction
3059,2,530,16,Without Preliminary Noise Reduction
3060,2,531,4,With Preliminary Noise Reduction
3061,2,531,17,Without Preliminary Noise Reduction
3062,2,532,7,With Preliminary Noise Reduction
3063,2,532,17,Without Preliminary Noise Reduction
3064,2,533,13,With Preliminary Noise Reduction
3065,2,533,20,Without Preliminary Noise Reduction
3066,2,534,19,With Preliminary Noise Reduction
3067,2,534,15,Without Preliminary Noise Reduction
3068,2,535,6,With Preliminary Noise Reduction
3069,2,535,17,Without Preliminary Noise Reduction
3070,2,536,1,With Preliminary Noise Reduction
3071,2,536,18,Without Preliminary Noise Reduction
3072,2,537,20,With Preliminary Noise Reduction
3073,2,537,17,Without Preliminary Noise Reduction
3074,2,538,0,With Preliminary Noise Reduction
3075,2,538,21,Without Preliminary Noise Reduction
3076,2,539,11,With Preliminary Noise Reduction
3077,2,539,18,Without Preliminary Noise Reduction
3078,2,540,5,With Preliminary Noise Reduction
3079,2,540,22,Without Preliminary Noise Reduction
3080,2,541,17,With Preliminary Noise Reduction
3081,2,541,24,Without Preliminary Noise Reduction
3082,2,542,20,With Preliminary Noise Reduction
3083,2,542,25,Without Preliminary Noise Reduction
3084,2,543,19,With Preliminary Noise Reduction
3085,2,543,24,Without Preliminary Noise Reduction
3086,2,544,12,With Preliminary Noise Reduction
3087,2,544,22,Without Preliminary Noise Reduction
3088,2,545,2,With Preliminary Noise Reduction
3089,2,545,23,Without Preliminary Noise Reduction
3090,2,546,8,With Preliminary Noise Reduction
3091,2,546,25,Without Preliminary Noise Reduction
3092,2,547,20,With Preliminary Noise Reduction
3093,2,547,15,Without Preliminary Noise Reduction
3094,2,548,6,With Preliminary Noise Reduction
3095,2,548,17,Without Preliminary Noise Reduction
3096,2,549,11,With Preliminary Noise Reduction
3097,2,549,18,Without Preliminary Noise Reduction
3098,2,550,5,With Preliminary Noise Reduction
3099,2,550,22,Without Preliminary Noise Reduction
3100,2,551,2,With Preliminary Noise Reduction
3101,2,551,20,Without Preliminary Noise Reduction
3102,2,552,3,With Preliminary Noise Reduction
3103,2,552,20,Without Preliminary Noise Reduction
3104,2,553,4,With Preliminary Noise Reduction
3105,2,553,23,Without Preliminary Noise Reduction
3106,2,554,6,With Preliminary Noise Reduction
3107,2,554,15,Without Preliminary Noise Reduction
3108,2,555,7,With Preliminary Noise Reduction
3109,2,555,17,Without Preliminary Noise Reduction
3110,2,556,12,With Preliminary Noise Reduction
3111,2,556,25,Without Preliminary Noise Reduction
3112,2,557,1,With Preliminary Noise Reduction
3113,2,557,16,Without Preliminary Noise Reduction
3114,2,558,18,With Preliminary Noise Reduction
3115,2,558,17,Without Preliminary Noise Reduction
3116,2,559,11,With Preliminary Noise Reduction
3117,2,559,25,Without Preliminary Noise Reduction
3118,2,560,12,With Preliminary Noise Reduction
3119,2,560,19,Without Preliminary Noise Reduction
3120,2,561,5,With Preliminary Noise Reduction
3121,2,561,23,Without Preliminary Noise Reduction
3122,2,562,11,With Preliminary Noise Reduction
3123,2,562,24,Without Preliminary Noise Reduction
3124,2,563,17,With Preliminary Noise Reduction
3125,2,563,25,Without Preliminary Noise Reduction
3126,2,564,20,With Preliminary Noise Reduction
3127,2,564,18,Without Preliminary Noise Reduction
3128,2,565,19,With Preliminary Noise Reduction
3129,2,565,17,Without Preliminary Noise Reduction
3130,2,566,3,With Preliminary Noise Reduction
3131,2,566,20,Without Preliminary Noise Reduction
3132,2,567,6,With Preliminary Noise Reduction
3133,2,567,19,Without Preliminary Noise Reduction
3134,2,568,9,With Preliminary Noise Reduction
3135,2,568,22,Without Preliminary Noise Reduction
3136,2,569,17,With Preliminary Noise Reduction
3137,2,569,22,Without Preliminary Noise Reduction
3138,2,570,10,With Preliminary Noise Reduction
3139,2,570,23,Without Preliminary Noise Reduction
3140,2,571,19,With Preliminary Noise Reduction
3141,2,571,23,Without Preliminary Noise Reduction
3142,2,572,10,With Preliminary Noise Reduction
3143,2,572,23,Without Preliminary Noise Reduction
3144,2,573,9,With Preliminary Noise Reduction
3145,2,573,22,Without Preliminary Noise Reduction
3146,2,574,5,With Preliminary Noise Reduction
3147,2,574,25,Without Preliminary Noise Reduction
3148,2,575,11,With Preliminary Noise Reduction
3149,2,575,17,Without Preliminary Noise Reduction
3150,2,576,17,With Preliminary Noise Reduction
3151,2,576,20,Without Preliminary Noise Reduction
3152,2,577,0,With Preliminary Noise Reduction
3153,2,577,22,Without Preliminary Noise Reduction
3154,2,578,20,With Preliminary Noise Reduction
3155,2,578,16,Without Preliminary Noise Reduction
3156,2,579,16,With Preliminary Noise Reduction
3157,2,579,25,Without Preliminary Noise Reduction
3158,2,580,7,With Preliminary Noise Reduction
3159,2,580,19,Without Preliminary Noise Reduction
3160,2,581,1,With Preliminary Noise Reduction
3161,2,581,21,Without Preliminary Noise Reduction
3162,2,582,19,With Preliminary Noise Reduction
3163,2,582,19,Without Preliminary Noise Reduction
3164,2,583,15,With Preliminary Noise Reduction
3165,2,583,21,Without Preliminary Noise Reduction
3166,2,584,2,With Preliminary Noise Reduction
3167,2,584,24,Without Preliminary Noise Reduction
3168,2,585,6,With Preliminary Noise Reduction
3169,2,585,20,Without Preliminary Noise Reduction
3170,2,586,18,With Preliminary Noise Reduction
3171,2,586,19,Without Preliminary Noise Reduction
3172,2,587,20,With Preliminary Noise Reduction
3173,2,587,24,Without Preliminary Noise Reduction
3174,2,588,13,With Preliminary Noise Reduction
3175,2,588,18,Without Preliminary Noise Reduction
3176,2,589,14,With Preliminary Noise Reduction
3177,2,589,15,Without Preliminary Noise Reduction
3178,2,590,2,With Preliminary Noise Reduction
3179,2,590,22,Without Preliminary Noise Reduction
3180,2,591,7,With Preliminary Noise Reduction
3181,2,591,21,Without Preliminary Noise Reduction
3182,2,592,7,With Preliminary Noise Reduction
3183,2,592,20,Without Preliminary Noise Reduction
3184,2,593,17,With Preliminary Noise Reduction
3185,2,593,22,Without Preliminary Noise Reduction
3186,2,594,3,With Preliminary Noise Reduction
3187,2,594,20,Without Preliminary Noise Reduction
3188,2,595,1,With Preliminary Noise Reduction
3189,2,595,18,Without Preliminary Noise Reduction
3190,2,596,9,With Preliminary Noise Reduction
3191,2,596,20,Without Preliminary Noise Reduction
3192,2,597,20,With Preliminary Noise Reduction
3193,2,597,22,Without Preliminary Noise Reduction
3194,2,598,14,With Preliminary Noise Reduction
3195,2,598,24,Without Preliminary Noise Reduction
3196,2,599,11,With Preliminary Noise Reduction
3197,2,599,17,Without Preliminary Noise Reduction
3198,2,600,1,With Preliminary Noise Reduction
3199,2,600,15,Without Preliminary Noise Reduction
3200,2,601,2,With Preliminary Noise Reduction
3201,2,601,24,Without Preliminary Noise Reduction
3202,2,602,15,With Preliminary Noise Reduction
3203,2,602,20,Without Preliminary Noise Reduction
3204,2,603,2,With Preliminary Noise Reduction
3205,2,603,24,Without Preliminary Noise Reduction
3206,2,604,5,With Preliminary Noise Reduction
3207,2,604,18,Without Preliminary Noise Reduction
3208,2,605,20,With Preliminary Noise Reduction
3209,2,605,15,Without Preliminary Noise Reduction
3210,2,606,1,With Preliminary Noise Reduction
3211,2,606,25,Without Preliminary Noise Reduction
3212,2,607,7,With Preliminary Noise Reduction
3213,2,607,16,Without Preliminary Noise Reduction
3214,2,608,9,With Preliminary Noise Reduction
3215,2,608,16,Without Preliminary Noise Reduction
3216,2,609,20,With Preliminary Noise Reduction
3217,2,609,15,Without Preliminary Noise Reduction
3218,2,610,7,With Preliminary Noise Reduction
3219,2,610,25,Without Preliminary Noise Reduction
3220,2,611,14,With Preliminary Noise Reduction
3221,2,611,19,Without Preliminary Noise Reduction
3222,2,612,18,With Preliminary Noise Reduction
3223,2,612,16,Without Preliminary Noise Reduction
3224,2,613,2,With Preliminary Noise Reduction
3225,2,613,17,Without Preliminary Noise Reduction
3226,2,614,18,With Preliminary Noise Reduction
3227,2,614,21,Without Preliminary Noise Reduction
3228,2,615,16,With Preliminary Noise Reduction
3229,2,615,15,Without Preliminary Noise Reduction
3230,2,616,10,With Preliminary Noise Reduction
3231,2,616,24,Without Preliminary Noise Reduction
3232,2,617,0,With Preliminary Noise Reduction
3233,2,617,22,Without Preliminary Noise Reduction
3234,2,618,6,With Preliminary Noise Reduction
3235,2,618,17,Without Preliminary Noise Reduction
3236,2,619,14,With Preliminary Noise Reduction
